recipe_name,excerpt
Citrus Sangria,"Bright and refreshing, this white-wine sangria starts with a quick lemon syrup, then gets layered with sliced citrus, orange liqueur, and a fizzy splash of limonata. It's a sunny, crowd-friendly pitcher cocktail that balances sweet, tart, and sparkle."
Dark + Stormy,"A classic highball built over ice with dark rum and spicy ginger beer, finished with a fresh lime wedge. It's crisp, warming, and perfectly balanced for an easy one-glass cocktail."
Maple Manhattan,"A maple-kissed twist on the Manhattan, combining whiskey and sweet vermouth with bitters for a smooth, aromatic sip. Finished with an Amarena cherry, it's rich, warming, and great for serving a small group."
Walter’s Caesar,"This bold Caesar-style cocktail is built over ice with gin, Walter’s Caesar mix, Worcestershire, and hot sauce for a savory, spicy kick. Rimmed and garnished with a zesty lime wheel and spicy bean, it's a brunch-ready classic."
Brown Butter + Vanilla Bean Ice Cream,"Silky custard ice cream infused with real vanilla bean and vanilla paste, then enriched with nutty browned butter. Churned with cold cream for a plush texture, it tastes like toasted caramel and warm vanilla in every scoop."
"Carrot Cake, Ginger + Thyme Creme Anglaise with Chantilly Cream","A classic carrot cake made extra aromatic with warm ginger and a delicate thyme crème anglaise. Served with billowy Chantilly cream, it's a cozy, lightly spiced dessert that feels both rustic and refined."
Chocolate Flourless Torte with Summer Berries + Chantilly Cream,"Deep, fudgy flourless chocolate torte gets a bright lift from a buttery summer-berry compote simmered with lemon and a splash of rosé or red wine. Finish with Chantilly cream and a crisp brandy snap tuile for an elegant, textured dessert."
"French Apple Cake, Ginger + Thyme Creme Anglaise with Chantilly Cream","Tender French-style apple cake is served with fragrant thyme-and-honey crème anglaise and a cloud of Chantilly cream. A cinnamon tuile and candied almonds add a crisp, spiced crunch to each bite."
Lemon Cake with Mascarpone Cream + Orange Caramel,"A light, lemon-scented cake with buttermilk richness is paired with smooth mascarpone cream for a creamy, tangy contrast. Drizzled with spiced orange caramel and finished with a brandy snap crunch, it's bright, decadent, and beautifully layered."
Sweetgrass Stout Brownies with Salted Caramel,"Rich, fudgy brownies made with stout for deeper cocoa notes and a subtly malty finish. Topped with salted caramel, they hit that perfect sweet-salty balance with an extra-dark, bakery-style chew."
Chicken Marsala with Handmade Tagliatelle,"Handmade tagliatelle is the perfect partner for tender chicken in a creamy Marsala sauce packed with cremini and porcini mushrooms. With shallots, garlic, and fresh parsley, it's a comforting Italian classic with restaurant-style depth."
Lemongrass Chicken Thighs with Ginger Garlic Greens,"Juicy chicken thighs infused with fragrant lemongrass are paired with crisp-tender greens seasoned with ginger and garlic. It's a vibrant, savory dish that delivers bright aromatics and satisfying weeknight-style comfort at a larger scale."
Maple Mustard Glazed Atlantic Salmon with White Bean + Apple Puree,"Roasted Atlantic salmon is brushed with a sweet-savory maple mustard glaze with soy for depth and shine. Served with silky white bean and apple purée and buttery thyme-scented carrots, it's a balanced plate that's both hearty and fresh."
"Maple Mustard Glazed Pork Tenderlon, White Bean Puree with", White Bean Puree with,"Pork tenderloin is coated in a glossy maple-mustard glaze with a touch of soy, then roasted until juicy and tender. Paired with creamy white bean purée and sweet, thyme-laced carrots, it's an easy, elegant main for a group."
Pomegranate Glazed Chicken with Moroccan Spiced Carrots,"Chicken is marinated with warm spices and citrus, then finished with a tangy-sweet pomegranate molasses glaze. Served alongside honeyed Moroccan-spiced carrots with sumac, za'atar, and fresh herbs, it's bold, colorful, and deeply aromatic."
Porcini Rubbed Flat Iron Steak with Pomme Puree + Haricot Vert,"Flat iron steak is seasoned with an earthy porcini rub, seared, and served alongside silky garlic-thyme pomme purée. Bright haricots verts with tarragon and lemon zest keep the plate fresh and balanced."
"Smokey Maple BBQ Chicken, Wilted Winter Greens with Candied Bacon +", Wilted Winter Greens with Candied Bacon +,"Grilled chicken gets a smoky-sweet maple BBQ glaze with Dijon, vinegar, and paprika for tangy depth. With honey-balsamic winter greens, candied bacon, and duck-fat roasted fingerlings, it's a bold, satisfying spread with lots of texture."
